experience_level,employment_type,remote_ratio,company_size,job_title_freq,employee_residence_top,company_location_top,inflation_adj_salary
Mid/ Intermediate level,Full-time,Remote,Large,Data Scientist,India,India,16410.537783066
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,80339.17499999999
Senior,Full-time,On-site,Medium,Data Scientist,Other,Other,42874.306302
Entry level,Full-time,On-site,Medium,Data Scientist,United States,United States,128542.67999999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,141718.30469999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,122115.54599999997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,189728.99567999996
Senior,Full-time,Remote,Small,AI/ ML Researcher,Germany,Germany,95276.606174
Senior,Full-time,Remote,Medium,ML Engineer,Other,Other,299141.26347
Senior,Full-time,On-site,Large,AI/ DS Executive,United States,United States,145350.92083679995
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,156393.59399999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,203525.90999999997
Mid/ Intermediate level,Full-time,Hybrid,Large,ML Engineer,United States,United States,144610.51499999998
Entry level,Full-time,Remote,Medium,Data Scientist,United States,United States,194356.53215999997
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,187458.07499999998
Mid/ Intermediate level,Full-time,Remote,Large,ML Engineer,United States,United States,185101.45919999998
Entry level,Full-time,Remote,Large,Data Engineer,United States,United States,99492.03431999998
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,158030.37079199997
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,167533.95959999997
Entry level,Full-time,Remote,Small,ML Engineer,Other,Germany,103203.73589714999
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,150394.93559999997
Senior,Full-time,On-site,Large,AI/ DS Executive,Other,Other,156022.698202
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,162188.72648999997
Mid/ Intermediate level,Full-time,Hybrid,Large,AI/ DS Executive,Other,Other,104765.13598216399
Entry level,Full-time,Hybrid,Medium,Data Engineer,India,India,26270.814513019224
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,112689.08279999999
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,139254.56999999998
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,232533.70811999994
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,187788.00121199997
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,158535.97199999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,104489.77371839999
Senior,Full-time,Hybrid,Large,Data Scientist,France,France,64583.68376283767
Senior,Full-time,Remote,Large,BI Analyst,United States,United States,150394.93559999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,94409.81957200001
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,112474.84499999997
Senior,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,50556.04662942399
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,286328.8197
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,172375.73387999999
Entry level,Full-time,Hybrid,Medium,ML Engineer,Germany,Germany,30139.133366764163
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,125318.40110999999
Entry level,Full-time,On-site,Medium,Data Engineer,United States,United States,69627.28499999999
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,74983.23
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,173532.618
Mid/ Intermediate level,Full-time,Remote,Large,BI Analyst,United States,United States,165482.02337269677
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,164963.106
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,202454.721
Mid/ Intermediate level,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,214237.79999999996
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,174068.2125
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,200847.93749999997
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,104119.57079999999
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,179424.15749999997
Entry level,Full-time,On-site,Medium,Data Engineer,United States,United States,185101.45919999998
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,304549.74458999996
Entry level,Full-time,On-site,Medium,BI Analyst,Spain,Spain,23818.319162
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,142789.49369999996
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,248730.0858
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,121044.35699999997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,145681.704
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,171390.24
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,55661.12281799999
Senior,Full-time,Remote,Medium,AI/ DS Executive,United States,United States,109903.99139999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,190885.87979999997
Senior,Full-time,On-site,Medium,ML Engineer,Germany,Germany,305206.55
Executive level,Full-time,Remote,Medium,Data Scientist,United States,United States,183944.57507999998
Entry level,Full-time,Remote,Medium,Data Scientist,India,India,20887.098808169998
Entry level,Full-time,Hybrid,Medium,Data Analyst,Other,United States,23137.682399999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,182102.12999999998
Entry level,Full-time,On-site,Medium,ML Engineer,United States,United States,219518.76176999995
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,267797.24999999994
Senior,Full-time,On-site,Medium,Data Analyst,Spain,Spain,46836.137035449996
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,144610.51499999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,146345.84117999996
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,98335.15019999997
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,Spain,Spain,56833.690277761096
Senior,Full-time,Remote,Medium,Data Analyst,Canada,Canada,87159.80453073894
Senior,Full-time,Hybrid,Large,AI/ DS Executive,Canada,Canada,144884.66028213353
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,162820.72799999997
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,192814.02
Entry level,Full-time,Remote,Small,ML Engineer,United States,United States,151407.20920499996
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,206203.88249999998
Entry level,Full-time,On-site,Medium,Data Scientist,United States,United States,92550.72959999999
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,212952.37319999997
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,France,France,110928.61911264001
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,166707.001692
Mid/ Intermediate level,Full-time,Remote,Large,ML Engineer,Other,Other,107186.320676
Entry level,Full-time,Remote,Medium,Data Scientist,United States,United States,77025.98742299998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,135388.32647111098
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,85695.12
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,160678.34999999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,179959.75199999998
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,156179.35619999998
Mid/ Intermediate level,Full-time,Remote,Medium,ML Engineer,United States,United States,155022.47207999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,315308.7669059999
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,192787.24027499996
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,120315.94848
Entry level,Part-time,Remote,Large,Data Analyst,Other,India,19731.880918
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,121472.8326
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,196670.30039999995
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,115688.41199999998
Senior,Full-time,Remote,Medium,Data Scientist,Other,United States,115688.41199999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,154101.24953999996
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,127951.383672
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,216337.33043999996
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,289221.02999999997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,139011.1958592
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,127257.25319999999
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,127631.82999999999
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,250765.34489999997
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,121847.74874999997
Senior,Full-time,Remote,Large,Data Engineer,United States,United States,230449.0399560518
Entry level,Full-time,On-site,Small,Data Scientist,France,France,63495.915172320114
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,118117.86865199999
Senior,Full-time,Remote,Large,Data Engineer,United States,United States,226055.15704799996
Mid/ Intermediate level,Full-time,On-site,Large,Data Analyst,United States,United States,75097.97576567998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,181688.65104599998
Senior,Full-time,On-site,Large,Data Scientist,United States,United States,281187.1125
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,224949.68999999994
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,United States,United States,56237.422499999986
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,150672.58778879998
Senior,Full-time,On-site,Large,ML Engineer,India,India,80456.41834381933
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,80923.019588
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,254942.98199999996
Senior,Full-time,Remote,Medium,Data Analyst,Spain,Spain,61929.1836
Senior,Full-time,Hybrid,Large,Data Scientist,Other,Other,70266.316704
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,295648.164
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,128007.08549999997
Senior,Full-time,On-site,Medium,ML Engineer,Other,Other,85748.612604
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,213166.61099999995
Entry level,Full-time,Remote,Medium,Data Scientist,United States,United States,121125.767364
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,117830.78999999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,213271.58752199996
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,196670.30039999995
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United Kingdom,United Kingdom,119891.12598679999
Entry level,Freelancer,Remote,Small,Data Analyst,Other,United States,57844.20599999999
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,128542.67999999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,80339.17499999999
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,219807.98279999997
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,187458.07499999998
Senior,Full-time,Remote,Large,Data Scientist,United States,United States,199857.5161506
Mid/ Intermediate level,Full-time,Remote,Large,Data Engineer,United States,United States,129934.03316671007
Senior,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,96522.91434631999
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,200847.93749999997
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,197848.60829999996
Entry level,Full-time,Remote,Medium,AI Engineer,United States,United States,57844.20599999999
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,France,France,61626.61958380199
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,96407.01
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,283436.60939999996
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,176746.185
Entry level,Full-time,Remote,Medium,Data Scientist,India,United States,53559.44999999999
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,104489.77371839999
Mid/ Intermediate level,Full-time,Remote,Small,ML Engineer,Other,Other,52044.714328810005
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,59001.09011999999
Entry level,Full-time,Hybrid,Medium,Data Analyst,United States,United States,107118.89999999998
Mid/ Intermediate level,Full-time,Remote,Large,Data Scientist,Other,Other,35193.08982
Senior,Full-time,On-site,Small,ML Engineer,Other,Other,321679.9739834225
Mid/ Intermediate level,Full-time,Hybrid,Medium,BI Analyst,France,France,123253.23916760398
Entry level,Full-time,Hybrid,Small,Data Scientist,Germany,Germany,77606.53095416985
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,215347.551804
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,Other,United States,68644.39488052606
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,266529.0002368
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,180388.22759999998
Mid/ Intermediate level,Full-time,On-site,Medium,ML Engineer,United States,United States,190885.87979999997
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,193885.20899999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,India,India,41048.37533189231
Senior,Full-time,On-site,Medium,Data Engineer,United Kingdom,United Kingdom,112347.085976
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,97178.26607999999
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,181630.80683999998
Mid/ Intermediate level,Full-time,Remote,Large,Data Engineer,United States,United States,242251.534728
Senior,Full-time,On-site,Medium,Data Engineer,United Kingdom,United Kingdom,86668.84919671998
Entry level,Full-time,On-site,Large,Data Scientist,Other,Other,121416.15987899998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,155322.405
Entry level,Full-time,Remote,Small,Data Scientist,United States,Other,58655.149699999994
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,115399.19096999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,123208.15878
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,United States,United States,139294.63246859997
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,94478.09854391997
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,112689.08279999999
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,148788.15209999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,Germany,Germany,86277.03279672399
Executive level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,301368.31325999997
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,143565.034536
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,344173.02569999994
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,117188.07659999999
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,237508.309836
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,98335.15019999997
Entry level,Full-time,Remote,Large,Data Analyst,Other,Other,110984.20000000001
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,163891.917
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,80981.88839999998
Entry level,Full-time,Remote,Medium,Data Scientist,India,India,34480.9752440372
Senior,Full-time,Remote,Large,BI Analyst,United States,United States,115688.41199999998
Entry level,Full-time,Hybrid,Small,Data Scientist,United States,United States,117830.78999999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,143325.08819999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,196670.30039999995
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,155322.405
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,149585.11671599996
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,202240.48319999996
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,133898.62499999997
Entry level,Full-time,Hybrid,Large,Data Scientist,Other,Other,51963.6881050144
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,166034.29499999998
Entry level,Full-time,On-site,Medium,Data Scientist,United States,United States,203525.90999999997
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,138826.0944
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,173532.618
Entry level,Full-time,Remote,Small,BI Analyst,Other,Other,11257.706343980877
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,67435.10976200001
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,United States,United States,156179.35619999998
Senior,Full-time,On-site,Medium,Data Scientist,Canada,Canada,156487.722
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,180388.22759999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,123658.05815999999
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,168905.08151999995
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,60691.70977
Mid/ Intermediate level,Full-time,On-site,Medium,AI Engineer,Other,Other,83260.34684
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,130685.05799999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,167579.29231847997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,146345.84117999996
Senior,Full-time,Remote,Small,Data Scientist,United States,United States,63628.626599999996
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,242945.6652
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,241528.482153
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,128542.67999999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,110546.70479999999
Executive level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,288792.55439999996
Mid/ Intermediate level,Full-time,On-site,Medium,ML Engineer,United States,United States,235661.57999999996
Mid/ Intermediate level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,128542.67999999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,153180.02699999997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,215791.02404999998
Entry level,Full-time,Hybrid,Large,Data Scientist,Other,Other,134394.09730599998
Senior,Freelancer,Hybrid,Small,AI/ ML Researcher,Other,Other,55492.100000000006
Mid/ Intermediate level,Full-time,Remote,Large,Data Analyst,United States,United States,112646.96364851999
Mid/ Intermediate level,Full-time,Remote,Large,Data Engineer,United States,United States,135660.85944767998
Mid/ Intermediate level,Full-time,On-site,Medium,ML Engineer,United Kingdom,United Kingdom,107896.619556
Senior,Full-time,Remote,Large,ML Engineer,United States,United States,226055.15704799996
Entry level,Full-time,Remote,Large,Data Engineer,United States,United States,87816.1813389
Senior,Full-time,On-site,Small,AI/ DS Executive,Other,Other,203979.14859672
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,96407.01
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,178160.15447999997
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,173532.618
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,139254.56999999998
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,289221.02999999997
Entry level,Full-time,Remote,Medium,Data Engineer,United States,United States,138826.0944
Entry level,Full-time,Remote,Large,Data Engineer,Other,Germany,67728.48129154045
Executive level,Full-time,On-site,Medium,Data Engineer,United States,United States,251729.41499999995
Senior,Full-time,On-site,Large,Data Engineer,United States,United States,122282.651484
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,91051.06499999999
Executive level,Full-time,On-site,Medium,Data Engineer,United States,United States,166034.29499999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,178854.284952
Senior,Full-time,On-site,Medium,BI Analyst,United States,United States,167533.95959999997
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,94478.09854391997
Senior,Full-time,On-site,Medium,AI Engineer,United States,United States,182102.12999999998
Executive level,Full-time,On-site,Medium,Data Engineer,United States,United States,167748.19739999998
Entry level,Full-time,Hybrid,Large,Data Scientist,France,France,46836.137035449996
Mid/ Intermediate level,Full-time,On-site,Large,AI/ ML Researcher,United Kingdom,United Kingdom,80923.019588
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,217412.49859
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,185101.45919999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,224435.51927999995
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,239732.09819999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,Other,Other,63347.561676
Entry level,Freelancer,Remote,Medium,ML Engineer,Other,Other,117310.29939999999
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,91586.6595
Mid/ Intermediate level,Full-time,Remote,Medium,BI Analyst,Other,Other,10896.953711266
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,196670.30039999995
Senior,Full-time,On-site,Medium,BI Analyst,United States,United States,211024.23299999995
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,69605.86121999999
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,257085.35999999996
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,85695.12
Senior,Full-time,On-site,Medium,AI Engineer,United States,United States,251729.41499999995
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,111060.87551999999
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,162426.53044799998
Entry level,Full-time,Remote,Large,Data Engineer,India,India,16693.95341907046
Entry level,Full-time,Hybrid,Medium,Data Engineer,Germany,Germany,78936.28802213426
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,Canada,Canada,99713.75449
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,276495.30467999994
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,219058.15049999996
Senior,Full-time,Remote,Small,Data Scientist,United States,United States,138826.0944
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,150394.93559999997
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,192814.02
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,United States,United States,69627.28499999999
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,101762.95499999999
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,318464.4897
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,318143.133
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,127471.49099999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,101113.26636184199
Entry level,Full-time,Hybrid,Medium,Data Scientist,United States,Germany,58655.149699999994
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,226749.28751999995
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,231376.82399999996
Entry level,Full-time,Hybrid,Medium,Data Scientist,Other,Other,58655.149699999994
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,192814.02
Entry level,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,166034.29499999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,138826.0944
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,123285.28438799999
Entry level,Full-time,Remote,Medium,Data Scientist,Other,Other,20745.153345895997
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,109844.00481599999
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,157336.24031999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,83552.742
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,94243.20821999999
Mid/ Intermediate level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,139254.56999999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,United States,United States,117830.78999999998
Senior,Full-time,Remote,Medium,Data Analyst,Canada,Canada,71911.2135322
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,217772.72369999997
Entry level,Full-time,Remote,Large,Data Analyst,France,India,7459.761938846
